--- THEO DOI CONG NO SHEET ---
Row 1: (1)[THEO DÕI CÔNG NỢ] | (2)[] | (3)[] | (4)[] | (5)[] | (6)[] | (7)[] | (8)[] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 3: (1)[STT] | (2)[] | (3)[Theo dõi từ Q3/2025] | (4)[] | (5)[] | (6)[] | (7)[] | (8)[] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[LUỸ KẾ ĐẾN HẾT THÁNG 9] | (15)[THÁNG 10] | 
Row 6: (1)[] | (2)[] | (3)[Tiền mặt Hiện có (đầu tháng)] | (4)[] | (5)[] | (6)[ Công nợ NA+HQ ] | (7)[  11,493,388,900 ] | (8)[] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 7: (1)[STT] | (2)[Ngày xuất hoá đơn] | (3)[HD] | (4)[Tàu] | (5)[Nội dung] | (6)[Thực tế] | (7)[Hoá đơn] | (8)[Khối lượng] | (9)[Đợn Giá] | (10)[Tiền gửi] | (11)[Column2] | (12)[Column3] | (13)[Column4] | (14)[Column5] | (15)[THÁNG 10] | 
Row 8: (1)[] | (2)[] | (3)[Dòng tiền Thu vào] | (4)[] | (5)[] | (6)[     42,995,020,997 ] | (7)[       12,147,728,900 ] | (8)[] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 9: (1)[1] | (2)[] | (3)[Công Nợ Công ty Ngọc Anh] | (4)[] | (5)[] | (6)[     31,207,958,857 ] | (7)[         7,473,060,600 ] | (8)[] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 10: (1)[] | (2)[] | (3)[HD58] | (4)[] | (5)[] | (6)[          799,147,900 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 11: (1)[] | (2)[] | (3)[HD60] | (4)[] | (5)[] | (6)[          376,556,800 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 12: (1)[] | (2)[] | (3)[HD62] | (4)[] | (5)[] | (6)[          528,244,450 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 13: (1)[] | (2)[] | (3)[HD64] | (4)[] | (5)[] | (6)[          692,584,740 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 14: (1)[] | (2)[] | (3)[HD65] | (4)[] | (5)[] | (6)[          809,164,300 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 15: (1)[] | (2)[] | (3)[HD66] | (4)[] | (5)[] | (6)[          300,000,000 ] | (7)[                             -   ] | (8)[1] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 16: (1)[] | (2)[] | (3)[HD67] | (4)[] | (5)[] | (6)[          854,118,000 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 17: (1)[] | (2)[] | (3)[HD69] | (4)[] | (5)[] | (6)[          720,964,800 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 18: (1)[] | (2)[] | (3)[HD71] | (4)[] | (5)[] | (6)[          714,945,000 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 19: (1)[] | (2)[] | (3)[HD7273] | (4)[] | (5)[] | (6)[          460,000,000 ] | (7)[                             -   ] | (8)[1] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 20: (1)[] | (2)[] | (3)[HD74] | (4)[] | (5)[] | (6)[          893,019,000 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 21: (1)[] | (2)[] | (3)[HD75] | (4)[] | (5)[] | (6)[          810,220,000 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 22: (1)[] | (2)[] | (3)[HD77] | (4)[VG05] | (5)[Đá Hòn La - Dung Quất] | (6)[          310,326,480 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 23: (1)[] | (2)[] | (3)[HD79] | (4)[VG09] | (5)[Xỉ mịn Dung Quất - HCM] | (6)[          619,790,160 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 24: (1)[] | (2)[] | (3)[HD80] | (4)[VG15] | (5)[Clinker Chân Mây - Hậu Giang] | (6)[          660,346,400 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 25: (1)[] | (2)[] | (3)[HD83] | (4)[VG36] | (5)[Clinker Chân Mây - Hậu Giang] | (6)[          669,674,600 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 26: (1)[] | (2)[] | (3)[HD86] | (4)[VG05] | (5)[Than Đồng Nai - Hòn La] | (6)[          399,789,000 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
Row 27: (1)[] | (2)[] | (3)[HD87] | (4)[VG15] | (5)[Clinker Chân Mây - Hậu Giang] | (6)[          664,333,600 ] | (7)[                             -   ] | (8)[#] | (9)[] | (10)[] | (11)[] | (12)[] | (13)[] | (14)[] | (15)[] | 
